date,citations,link
2023-11-23,1,https://arxiv.org/pdf/2301.00344
2020-02-01,5,https://arxiv.org/pdf/2002.00142
2020-02-01,12,https://arxiv.org/pdf/2002.00145
2020-02-01,2,https://arxiv.org/pdf/2001.11213
2020-02-01,9,https://arxiv.org/pdf/1909.04426
2020-03-02,2,https://arxiv.org/pdf/2003.00679
2020-03-02,34,https://arxiv.org/pdf/1903.12359
2022-12-08,6,https://arxiv.org/pdf/2304.01359
2021-12-24,14,https://arxiv.org/pdf/2201.01219
2021-12-14,6,https://arxiv.org/pdf/2112.07540
2021-12-15,10,https://arxiv.org/pdf/2112.08002
2021-12-15,9,https://arxiv.org/pdf/2112.08496
2021-09-14,34,https://arxiv.org/pdf/math/0703045
2021-01-28,10,https://arxiv.org/pdf/0704.0479
2020-04-02,49,https://arxiv.org/pdf/2004.00443
2020-04-02,17,https://arxiv.org/pdf/2004.01094
2020-04-02,18,https://arxiv.org/pdf/2003.12538
2020-04-02,34,https://arxiv.org/pdf/2004.01702
2020-04-03,10,https://arxiv.org/pdf/2004.01408
2020-04-06,16,https://arxiv.org/pdf/1903.11684
